fname,label_level_0,class_level_0,label_level_1,class_level_1,label_level_2,class_level_2
Black_Footed_Albatross_0046_18.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0002_55.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0085_92.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0025_796057.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0086_796062.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0049_796063.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0006_796065.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0016_796067.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0065_796068.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0042_796071.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0090_796077.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0061_796082.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0008_796083.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0033_796086.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0024_796089.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0005_796090.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0026_796095.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0064_796101.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0076_417.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0053_796109.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0001_796111.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0037_796120.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0082_796121.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0050_796125.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0078_796126.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0045_796129.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0088_796133.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0003_796136.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0035_796140.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Black_Footed_Albatross_0058_796074.jpg,Diomedeidae,11,Phoebastria,85,Black_footed_Albatross,0
Laysan_Albatross_0002_1027.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0082_524.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0070_788.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0053_543.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0001_545.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0023_1059.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0060_777.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0080_821.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0091_602.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
Laysan_Albatross_0102_611.jpg,Diomedeidae,11,Phoebastria,85,Laysan_Albatross,1
